Timestamp,ppgRed 
1684327613966,4836704 
1684327613975,4836879 
1684327613986,4836775 
1684327613996,4836926 
1684327614006,4837164 
1684327614015,4837205 
1684327614026,4837600 
1684327614036,4837393 
1684327614046,4837750 
1684327614056,4837764 
1684327614066,4837979 
1684327614076,4838375 
1684327614086,4838892 
1684327614095,4838893 
1684327614106,4839316 
1684327614116,4839540 
1684327614126,4839809 
1684327614136,4839882 
1684327614146,4840222 
1684327614156,4840746 
1684327614166,4841285 
1684327614176,4841785 
1684327614186,4842189 
1684327614197,4842533 
1684327614206,4842765 
1684327614216,4842690 
1684327614226,4842876 
1684327614236,4843100 
1684327614246,4843188 
1684327614255,4843333 
1684327614267,4843363 
1684327614276,4843597 
1684327614286,4843934 
1684327614296,4844090 
1684327614306,4844269 
1684327614316,4844493 
1684327614326,4844417 
1684327614337,4844553 
1684327614346,4844372 
1684327614357,4844390 
1684327614367,4844014 
1684327614376,4843870 
1684327614386,4844191 
1684327614396,4844175 
1684327614406,4844045 
1684327614416,4843792 
1684327614426,4843313 
1684327614436,4842738 
1684327614446,4842261 
1684327614456,4841700 
1684327614467,4841132 
1684327614476,4840953 
1684327614486,4840470 
1684327614496,4840764 
1684327614506,4840500 
1684327614516,4840322 
1684327614526,4840081 
1684327614536,4839840 
1684327614546,4839478 
1684327614556,4839402 
1684327614567,4838610 
1684327614576,4838255 
1684327614586,4837922 
1684327614596,4837491 
1684327614606,4837255 
1684327614616,4837335 
1684327614626,4837575 
1684327614636,4837701 
1684327614646,4837883 
1684327614656,4838036 
1684327614667,4838592 
1684327614676,4838673 
1684327614686,4838887 
1684327614696,4838807 
1684327614706,4838694 
1684327614716,4838888 
1684327614726,4838849 
1684327614736,4838928 
1684327614746,4839142 
1684327614756,4839456 
1684327614767,4839741 
1684327614776,4839934 
1684327614786,4840084 
1684327614799,4840188 
1684327614806,4840613 
1684327614818,4840758 
1684327614826,4841201 
1684327614836,4841526 
1684327614846,4841672 
1684327614857,4841977 
1684327614867,4842080 
1684327614877,4842096 
1684327614886,4842219 
1684327614896,4841940 
1684327614906,4842019 
1684327614916,4841931 
1684327614926,4841906 
1684327614936,4842268 
1684327614946,4842432 
1684327614957,4842594 
1684327614967,4842852 
1684327614976,4842986 
1684327614986,4842787 
1684327614997,4842717 
1684327615006,4842484 
1684327615016,4842252 
1684327615026,4842224 
1684327615036,4842182 
1684327615046,4841962 
1684327615056,4841693 
1684327615067,4841519 
1684327615076,4841073 
1684327615086,4840781 
1684327615096,4840566 
1684327615106,4840285 
1684327615116,4840203 
1684327615126,4840045 
1684327615136,4839645 
1684327615147,4839615 
1684327615156,4839290 
1684327615167,4839081 
1684327615176,4838827 
1684327615186,4838961 
1684327615196,4838974 
1684327615206,4838923 
1684327615216,4839079 
1684327615227,4838728 
1684327615237,4838589 
1684327615246,4838460 
1684327615256,4838246 
1684327615267,4838066 
1684327615276,4837971 
1684327615286,4837776 
1684327615297,4837850 
1684327615307,4837773 
1684327615316,4837811 
1684327615326,4837879 
1684327615337,4837837 
1684327615347,4838042 
1684327615357,4838049 
1684327615367,4838100 
1684327615376,4838205 
1684327615387,4838131 
1684327615396,4838095 
1684327615407,4838125 
1684327615416,4838118 
1684327615427,4838000 
1684327615436,4837894 
1684327615446,4838063 
1684327615457,4837836 
1684327615468,4837943 
1684327615476,4838157 
1684327615486,4838184 
1684327615497,4838327 
1684327615507,4838245 
1684327615517,4838301 
1684327615529,4838630 
1684327615536,4838497 
1684327615547,4838834 
1684327615557,4838740 
1684327615567,4838600 
1684327615576,4838633 
1684327615587,4838536 
1684327615596,4838768 
1684327615607,4838457 
1684327615616,4838779 
1684327615627,4839012 
1684327615637,4839005 
1684327615647,4839080 
1684327615656,4839013 
1684327615668,4839221 
1684327615676,4839100 
1684327615687,4839030 
1684327615696,4838849 
1684327615707,4839232 
1684327615716,4839203 
1684327615727,4839014 
1684327615737,4838868 
1684327615747,4838593 
1684327615756,4838572 
1684327615768,4838339 
1684327615776,4838431 
1684327615787,4838220 
1684327615796,4838426 
1684327615807,4838320 
1684327615816,4838054 
1684327615827,4837984 
1684327615837,4837893 
1684327615848,4837572 
1684327615856,4837709 
1684327615868,4837373 
1684327615877,4837352 
1684327615887,4837174 
1684327615896,4836914 
1684327615907,4836771 
1684327615916,4836775 
1684327615927,4836751 
1684327615936,4836700 
1684327615947,4836670 
1684327615956,4836568 
1684327615967,4836474 
1684327615976,4836147 
1684327615987,4836284 
1684327615997,4836276 
1684327616007,4836063 
1684327616016,4836244 
1684327616027,4836106 
1684327616037,4836171 
1684327616047,4835916 
1684327616056,4836017 
1684327616069,4835988 
1684327616077,4835754 
1684327616087,4835911 
1684327616097,4835758 
1684327616107,4835784 
1684327616117,4835407 
1684327616127,4835552 
1684327616137,4835410 
1684327616147,4835261 
1684327616157,4835390 
1684327616168,4835391 
1684327616177,4835452 
1684327616188,4835246 
1684327616197,4835406 
1684327616207,4835438 
1684327616217,4835556 
1684327616227,4835458 
1684327616237,4835403 
1684327616247,4835651 
1684327616257,4835652 
1684327616268,4835669 
1684327616277,4835743 
1684327616287,4835876 
1684327616297,4836018 
1684327616307,4836004 
1684327616317,4836088 
1684327616327,4836384 
1684327616337,4836327 
1684327616347,4836638 
1684327616357,4836889 
1684327616369,4836802 
1684327616377,4836988 
1684327616387,4836828 
1684327616398,4836770 
1684327616407,4836692 
1684327616417,4836744 
1684327616428,4836952 
1684327616438,4836583 
1684327616447,4836395 
1684327616457,4836470 
1684327616469,4836361 
1684327616477,4836326 
1684327616487,4836382 
1684327616497,4836407 
1684327616508,4836459 
1684327616517,4836416 
1684327616527,4836288 
1684327616537,4836262 
1684327616547,4836023 
1684327616557,4835948 
1684327616568,4835697 
1684327616577,4835684 
1684327616588,4835442 
1684327616597,4835382 
1684327616607,4835241 
1684327616617,4835048 
1684327616627,4835119 
1684327616637,4835240 
1684327616647,4835182 
1684327616657,4835317 
1684327616669,4835374 
1684327616677,4835208 
1684327616687,4835172 
1684327616697,4835240 
1684327616707,4835403 
1684327616717,4835697 
1684327616727,4835782 
1684327616737,4835967 
1684327616747,4836127 
1684327616757,4835953 
1684327616770,4835660 
1684327616777,4835650 
1684327616788,4835577 
1684327616797,4835577 
1684327616807,4835746 
1684327616817,4835729 
1684327616828,4835729 
1684327616837,4835855 
1684327616847,4836176 
1684327616857,4836190 
1684327616868,4836313 
1684327616877,4836363 
1684327616887,4836467 
1684327616897,4836861 
1684327616908,4836912 
1684327616917,4836905 
1684327616927,4837036 
1684327616937,4837183 
1684327616948,4837250 
1684327616957,4837217 
1684327616968,4837312 
1684327616977,4837356 
1684327616988,4837637 
1684327616997,4837613 
1684327617008,4837527 
1684327617017,4837279 
1684327617028,4837263 
1684327617037,4837340 
1684327617047,4837707 
1684327617057,4837483 
1684327617068,4837783 
1684327617077,4837786 
1684327617088,4837716 
1684327617097,4838082 
1684327617107,4838400 
1684327617117,4838758 
1684327617127,4838910 
1684327617137,4838928 
1684327617148,4839148 
1684327617157,4838982 
1684327617168,4838766 
1684327617177,4838598 
1684327617188,4838619 
1684327617197,4838615 
1684327617208,4838392 
1684327617217,4838510 
1684327617228,4838191 
1684327617237,4838256 
1684327617248,4838228 
1684327617257,4838306 
1684327617268,4838339 
1684327617277,4838267 
1684327617288,4838441 
1684327617297,4838392 
1684327617308,4838468 
1684327617317,4838374 
1684327617328,4838585 
1684327617337,4838705 
1684327617349,4838557 
1684327617357,4838478 
1684327617368,4838461 
1684327617377,4838234 
1684327617389,4838243 
1684327617397,4838253 
1684327617409,4838355 
1684327617417,4838495 
1684327617428,4838561 
1684327617437,4838486 
1684327617448,4838690 
1684327617457,4838618 
1684327617469,4838974 
1684327617477,4839124 
1684327617489,4839755 
1684327617497,4840285 
1684327617508,4840761 
1684327617518,4841070 
1684327617528,4841555 
1684327617537,4842364 
1684327617548,4841908 
1684327617558,4841923 
1684327617569,4842391 
1684327617577,4843122 
1684327617588,4843621 
1684327617597,4844006 
1684327617608,4844189 
1684327617617,4844057 
1684327617628,4844187 
1684327617637,4843628 
1684327617649,4843238 
1684327617657,4842532 
1684327617669,4841997 
1684327617678,4841702 
1684327617688,4841258 
1684327617697,4840591 
1684327617708,4840031 
1684327617717,4839819 
1684327617728,4839846 
1684327617737,4839822 
1684327617748,4839444 
1684327617758,4838767 
1684327617769,4838230 
1684327617778,4837876 
1684327617788,4837803 
1684327617798,4837322 
1684327617809,4836595 
1684327617818,4835877 
1684327617828,4835365 
1684327617838,4834463 
1684327617849,4833887 
1684327617858,4833587 
1684327617869,4833519 
1684327617878,4833249 
1684327617888,4833002 
1684327617898,4832746 
1684327617908,4832518 
1684327617918,4832452 
1684327617928,4832169 
1684327617938,4831736 
1684327617948,4831358 
1684327617958,4831158 
1684327617969,4831120 
1684327617978,4831196 
1684327617989,4830597 
1684327617998,4830503 
1684327618008,4829952 
1684327618018,4829807 
1684327618029,4829920 
1684327618038,4829875 
1684327618048,4830123 
1684327618058,4830154 
1684327618070,4830478 
1684327618078,4830862 
1684327618088,4831166 
1684327618098,4831159 
1684327618109,4831030 
1684327618118,4830780 
1684327618129,4830356 
1684327618138,4830167 
1684327618148,4830293 
1684327618158,4830184 
1684327618170,4830484 
1684327618178,4830647 
1684327618188,4830605 
1684327618198,4830331 
1684327618208,4830466 
1684327618218,4830492 
1684327618228,4830636 
1684327618238,4830753 
1684327618249,4831111 
1684327618258,4831552 
1684327618269,4831592 
1684327618278,4831798 
1684327618288,4831580 
1684327618298,4831190 
1684327618309,4830963 
1684327618318,4830793 
1684327618328,4830615 
1684327618338,4830277 
1684327618349,4829878 
1684327618358,4829585 
1684327618369,4829467 
1684327618378,4829284 
1684327618388,4829817 
1684327618398,4830298 
1684327618408,4830685 
1684327618418,4831194 
1684327618428,4831350 
1684327618438,4831731 
1684327618450,4832222 
1684327618458,4832557 
1684327618469,4833182 
1684327618478,4833733 
1684327618489,4833869 
1684327618498,4834028 
